Название,Жанр,Режиссер,Страна,Год,IMDB
Никто," боевик, криминал, триллер", Илья Найшуллер ," США, Япония, Китай",2021 , 7.4 
Хранители," фантастика, боевик, драма", Зак Снайдер , США,2009 , 7.6 
Тор 2: Царство тьмы," фантастика, фэнтези, боевик", Алан Тейлор , США,2013 , 6.7 
Миллионер из трущоб," криминал, драма, мелодрама", Дэнни Бойл... ," Великобритания, Франция, США",2008 , 8.0 
Пираты Карибского моря: Мертвецы не рассказывают сказки," фэнтези, боевик, комедия", Йоаким Рённинг... ," США, Австралия, Великобритания",2017 , 6.5 
Пленницы," криминал, драма, детектив", Дени Вильнёв , США,2013 , 8.2 
Звёздные войны: Эпизод 7 – Пробуждение силы," фантастика, боевик, приключения", Джей Джей Абрамс ," США, Великобритания",2015 , 7.8 
Джуманджи," фэнтези, приключения, комедия", Джо Джонстон , США,1995 , 7.1 
Агенты А.Н.К.Л.," боевик, приключения, комедия", Гай Ричи ," США, Великобритания",2015 , 7.2 
Ходячий замок," аниме, мультфильм, фантастика", Хаяо Миядзаки ," Япония, США",2004 , 8.2 
Чарли и шоколадная фабрика," фэнтези, мюзикл, приключения", Тим Бёртон , США,2005 , 6.7 
Амели," комедия, мелодрама", Жан-Пьер Жёне ," Франция, Германия",2001 , 8.3 
Звёздные войны: Эпизод 1 – Скрытая угроза," фантастика, фэнтези, боевик", Джордж Лукас ," США, Великобритания",1999 , 6.5 
Тихое место," фантастика, ужасы, драма", Джон Красински , США,2018 , 7.5 
Счастливое число Слевина," детектив, криминал, триллер", Пол Макгиган ," США, Великобритания, Германия",2005 , 7.7 
Джон Уик 3," боевик, криминал, триллер", Чад Стахелски ," США, Марокко, Украина",2019 , 7.4 
Аквамен," фантастика, фэнтези, боевик", Джеймс Ван , США,2018 , 6.8 
Кролик Джоджо," комедия, драма, военный", Тайка Вайтити ," Новая Зеландия, Чехия, США",2019 , 7.9 
Голодные игры: И вспыхнет пламя," фантастика, боевик, приключения", Фрэнсис Лоуренс , США,2013 , 7.5 
Гадкий я," мультфильм, фантастика, приключения", Пьер Коффан... ," США, Франция",2010 , 7.6 
Люди Икс," фантастика, боевик, приключения", Брайан Сингер ," США, Канада",2000 , 7.3 
Всегда говори «ДА»," комедия, мелодрама", Пейтон Рид ," США, Великобритания",2008 , 6.8 
Эквилибриум," фантастика, боевик, драма", Курт Уиммер , США,2002 , 7.3 
Пианист," биография, драма, военный", Роман Полански ," Франция, Польша, Великобритания",2002 , 8.5 
Чудо-женщина," фантастика, фэнтези, боевик", Пэтти Дженкинс ," США, Китай, Гонконг",2017 , 7.3 
Человек из стали," фантастика, боевик, приключения", Зак Снайдер ," США, Великобритания",2013 , 7.1 
Убийство в Восточном экспрессе," криминал, драма, детектив", Кеннет Брана , США,2017 , 6.5 
Люди Икс: Первый класс," фантастика, боевик", Мэттью Вон ," США, Великобритания",2011 , 7.7 
От заката до рассвета," ужасы, фэнтези, боевик", Роберт Родригес ," США, Мексика",1995 , 7.2 
Зодиак," криминал, драма, детектив", Дэвид Финчер , США,2007 , 7.7 
